config,param,tau,res,l_scale,d_scale,n_scale,mean_range,stall_prop,graph_file,mean_ratio,max_ratio,cut_average,cut_max,time_average,total_time
2,2,100,10,0.0,0.2,1.0,,,G67.txt,93.76690647482015,94.18705035971223,6516.8,6546.0,388.0307281494141,10.216114521026611
2,2,100,10,0.0,0.2,1.5,,,G67.txt,94.36546762589929,94.64748201438849,6558.4,6578.0,452.4150848388672,10.777846813201904
2,2,100,10,0.0,0.2,2.0,,,G67.txt,94.36546762589929,94.61870503597122,6558.4,6576.0,486.71422424316404,11.387012481689453
2,2,100,10,0.25,0.0,1.0,,,G67.txt,93.65467625899281,94.0431654676259,6509.0,6536.0,416.93177795410156,11.305643320083618
2,2,100,10,0.25,0.0,1.5,,,G67.txt,94.36258992805756,94.82014388489209,6558.2,6590.0,428.2361358642578,11.539621591567993
2,2,100,10,0.25,0.0,2.0,,,G67.txt,94.36834532374101,94.70503597122303,6558.6,6582.0,491.7630249023438,11.042365550994873
2,2,100,10,0.25,0.1,1.0,,,G67.txt,93.44460431654676,93.9568345323741,6494.4,6530.0,400.2169128417969,11.360089302062988
2,2,100,10,0.25,0.1,1.5,,,G67.txt,94.11510791366906,94.53237410071942,6541.0,6570.0,444.66416931152344,10.507932186126709
2,2,100,10,0.25,0.1,2.0,,,G67.txt,94.74820143884892,95.25179856115108,6585.0,6620.0,481.572216796875,10.635862827301025
2,2,100,10,0.25,0.2,1.0,,,G67.txt,93.56258992805755,94.0431654676259,6502.6,6536.0,395.71759338378905,10.497498989105225
2,2,100,10,0.25,0.2,1.5,,,G67.txt,93.80431654676259,94.33093525179856,6519.4,6556.0,417.8896942138672,10.081698894500732
2,2,100,10,0.25,0.2,2.0,,,G67.txt,94.0115107913669,94.35971223021583,6533.8,6558.0,478.0061370849609,11.86112093925476
2,2,100,10,0.5,0.0,1.0,,,G67.txt,85.26043165467625,86.2158273381295,5925.6,5992.0,431.6256988525391,11.80759596824646
2,2,100,10,0.5,0.0,1.5,,,G67.txt,86.02302158273382,87.36690647482014,5978.6,6072.0,437.81993713378904,11.256819725036621
2,2,100,10,0.5,0.0,2.0,,,G67.txt,86.28489208633094,87.68345323741008,5996.8,6094.0,457.01079711914065,12.296866655349731
2,2,100,10,0.5,0.1,1.0,,,G67.txt,85.20287769784173,86.01438848920863,5921.6,5978.0,393.8201446533203,9.578480005264282
2,2,100,10,0.5,0.1,1.5,,,G67.txt,85.6978417266187,86.96402877697842,5956.0,6044.0,432.24196166992186,10.088382482528687
2,2,100,10,0.5,0.1,2.0,,,G67.txt,86.42589928057554,87.13669064748201,6006.6,6056.0,518.4099578857422,12.604992866516113
2,2,100,10,0.5,0.2,1.0,,,G67.txt,84.37410071942446,85.06474820143885,5864.0,5912.0,405.60931396484375,11.705167531967163
2,2,100,10,0.5,0.2,1.5,,,G67.txt,85.86474820143884,86.73381294964028,5967.6,6028.0,427.5681121826172,11.69918966293335
2,2,100,10,0.5,0.2,2.0,,,G67.txt,85.90791366906475,87.79856115107914,5970.6,6102.0,513.1527954101563,12.733137369155884
2,2,100,10,0.0,0.0,1.0,,,G77.txt,93.98873012678608,94.5663111289998,9340.6,9398.0,641.6833068847657,21.307816743850708
2,2,100,10,0.0,0.0,1.5,,,G77.txt,94.5864359025961,95.59267458241095,9400.0,9500.0,704.6478942871094,20.58166193962097
2,2,100,10,0.0,0.0,2.0,,,G77.txt,94.80177098007647,95.2505534312739,9421.4,9466.0,787.5306884765625,20.72941517829895
2,2,100,10,0.0,0.1,1.0,,,G77.txt,94.01489233246127,94.5663111289998,9343.2,9398.0,639.6244323730468,20.11210036277771
