timestep,masked_mean_energy,masked_ci95,nomask_mean_energy,nomask_ci95
256,-2996.0666666666666,64.86862045515373,19176.0,0.0
257,-2985.133333333333,67.45681149409741,19176.0,0.0
258,-2993.6666666666665,59.009918522098246,19176.0,0.0
259,-2975.266666666667,65.18126311221818,19176.0,0.0
260,-2946.266666666667,68.02834489519847,19176.0,0.0
261,-2956.266666666667,71.66569148376888,19176.0,0.0
262,-2973.0666666666666,66.68814992518868,19176.0,0.0
263,-2979.866666666667,62.299537393779474,19176.0,0.0
264,-2982.5333333333333,64.57592453355961,19176.0,0.0
265,-2991.133333333333,63.9616267354993,19176.0,0.0
266,-2989.2,77.05879171633572,19176.0,0.0
267,-2994.4666666666667,76.6725433445846,19176.0,0.0
268,-2976.0,78.7782461833477,19176.0,0.0
269,-2989.0,78.89872065743087,19176.0,0.0
270,-2998.4666666666667,75.33724923766009,19176.0,0.0
271,-3008.8,74.67813162553317,19176.0,0.0
272,-3012.733333333333,69.36728174886237,19176.0,0.0
273,-3024.133333333333,69.51136350288816,19176.0,0.0
274,-3007.733333333333,82.71379017873501,19176.0,0.0
275,-3026.4666666666667,76.8076474816332,19176.0,0.0
276,-3046.4,71.15957063699427,19176.0,0.0
277,-3015.4666666666667,85.63161259068538,19176.0,0.0
278,-2999.8,80.7626621685524,19176.0,0.0
279,-3015.9333333333334,82.77691992022248,19176.0,0.0
280,-3019.5333333333333,86.1192194279606,19176.0,0.0
281,-3021.733333333333,84.12225251400874,19176.0,0.0
282,-2992.9333333333334,89.30687196909436,19176.0,0.0
283,-3002.5333333333333,80.84104512813997,19176.0,0.0
284,-3022.133333333333,75.88416115041342,19176.0,0.0
285,-3018.6666666666665,85.35278775364053,19176.0,0.0
286,-3023.4666666666667,84.20812538910894,19176.0,0.0
287,-3020.866666666667,87.46236524466721,19176.0,0.0
288,-2995.5333333333333,78.39474687381777,19176.0,0.0
289,-3029.5333333333333,77.54503238012897,19176.0,0.0
290,-3050.5333333333333,76.84793704442998,19176.0,0.0
291,-3057.4,73.94668515197634,19176.0,0.0
292,-3054.6,76.02675731276622,19176.0,0.0
293,-3073.8,76.40662707973144,19176.0,0.0
294,-3073.866666666667,71.91300357805157,19176.0,0.0
295,-3099.8,68.44782017032364,19176.0,0.0
296,-3100.5333333333333,71.94247070064671,19176.0,0.0
297,-3108.8,72.73227534192638,19176.0,0.0
298,-3135.133333333333,70.69371485131424,19176.0,0.0
299,-3126.4,89.03465042846824,19176.0,0.0
300,-3101.4666666666667,86.38895697272451,19176.0,0.0
301,-3118.2,88.64237627836846,19176.0,0.0
302,-3100.266666666667,91.83483054323241,19176.0,0.0
303,-3098.733333333333,91.7653252808092,19176.0,0.0
304,-3097.733333333333,98.6256952074716,19176.0,0.0
305,-3063.5333333333333,106.73861683822027,19176.0,0.0
306,-3081.266666666667,101.19729509689083,19176.0,0.0
307,-3089.6,100.89645765468859,19176.0,0.0
308,-3102.8,99.93576321001314,19176.0,0.0
309,-3118.866666666667,87.47427914868676,19176.0,0.0
310,-3118.6,81.83995048593461,19176.0,0.0
311,-3106.5333333333333,79.9950151948898,19176.0,0.0
312,-3107.4,80.15387795467176,19176.0,0.0
313,-3100.0666666666666,74.04129079603688,19176.0,0.0
314,-3092.5333333333333,72.62785881960382,19176.0,0.0
315,-3065.6,79.30525006116787,19176.0,0.0
316,-3046.0,76.23691383315958,19176.0,0.0
317,-3052.9333333333334,78.17613525221863,19176.0,0.0
318,-3041.2,95.08664288323887,19176.0,0.0
319,-3047.0,85.7505052858676,19176.0,0.0
320,-3052.733333333333,96.77023229829065,19176.0,0.0
321,-3049.2,94.24967611078834,19176.0,0.0
